今日关注,#genre#
今日关注20240112,https://vod.gdtv.cn/m3u8/202401/170498618282.m3u8
今日关注20240112a,https://vfile2.grtn.cn/2024/1705/0728/6332/170507286332.ssm/170507286332.mp4

珠江第一线,#genre#
珠江第一线,https://lhttp.qingting.fm/live/1259/64k.mp3
珠江第一线20240112,https://lcache.qingting.fm/cache/20240112/1259/1259_20240112_073000_093000_24_0.aac
珠江第一线20240111,https://lcache.qingting.fm/cache/20240111/1259/1259_20240112_073000_093000_24_0.aac
珠江第一线20240110,https://lcache.qingting.fm/cache/20240110/1259/1259_20240112_073000_093000_24_0.aac
珠江第一线20240109,https://lcache.qingting.fm/cache/20240109/1259/1259_20240112_073000_093000_24_0.aac
珠江第一线20240108,https://lcache.qingting.fm/cache/20240108/1259/1259_20240112_073000_093000_24_0.aac

广东收集,#genre#
广东体育（测试）,http://r.jdshipin.com/LiYdg
广东体育（测试）,https://myphp.jdshipin.com/api/otv3.php?py=1
广东体育（测试）,https://myphp.jdshipin.com/api/otv3.php?py=2
广东体育（测试）,https://myphp.jdshipin.com/api/otv3.php?py=3
广东体育（测试）,https://myphp.jdshipin.com/api/otv3.php?py=4
广东体育（测试）,https://myphp.jdshipin.com/api/otv3.php?py=5

广东珠江,https://skype.serv00.net/itouch.php?id=gdzj
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw
广东少儿,https://skype.serv00.net/itouch.php?id=gdse
广东卫视,https://skype.serv00.net/itouch.php?id=gdws
广东影视,https://skype.serv00.net/itouch.php?id=gdys
广东体育,https://skype.serv00.net/itouch.php?id=gdty

广东珠江,http://ci.emdoor.tech:8080/touchtv.php?pk=1183
广东新闻,http://ci.emdoor.tech:8080/touchtv.php?pk=1186
广东少儿,http://ci.emdoor.tech:8080/touchtv.php?pk=1200
广东卫视,http://ci.emdoor.tech:8080/touchtv.php?pk=1182
广东影视,http://ci.emdoor.tech:8080/touchtv.php?pk=1199
广东体育,http://ci.emdoor.tech:8080/touchtv.php?pk=1184

广东珠江,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdzj
广东体育,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdty
广东新闻,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdxw
广东民生,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdms


广东,#genre#
G导视高清,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdds
翡翠台,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fcthd
翡翠台.720,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fct720
明珠台,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=mzthd
澳视澳门,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=asam
凤凰中文.576,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fhzw
星空卫视.576,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=xkws
澳亚卫视.576,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=ayws
广东珠江,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdzj
广东体育,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdty
广东新闻,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdxw
广东民生,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdms
广东经济科教,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdjjkj
大湾区卫视,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=dwqws
广东影视,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdys
嘉佳卡通,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=jjkt
广东少儿,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gdse
岭南戏曲,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=lnxq
广州综合,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gzzh
广州新闻,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gzxw
广州影视.576,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gzys
广州竞赛.576,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gzjs
广州法治.576,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=gzfz
增城台,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=zctv
东莞新闻综合,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=dgzh
东莞生活资讯,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=dgsh
佛山综合,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fszh
佛山公共,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fsgg
佛山影视,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fsys
南海综合,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fsnh
顺德综合,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=fssd
珠海1,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=zh1
珠海2,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=zh2
斗门融媒,http://cdn.jdshipin.com:8880/gd电报专属勿外传231216.php?id=zhdm
