
今日关注,#genre#
今日关注20240112,https://vod.gdtv.cn/m3u8/202401/170498618282.m3u8
今日关注20240112a,https://vfile2.grtn.cn/2024/1705/0728/6332/170507286332.ssm/170507286332.mp4

珠江第一线,#genre#
珠江第一线,https://lhttp.qingting.fm/live/1259/64k.mp3
珠江第一线20240112,https://lcache.qingting.fm/cache/20240112/1259/1259_20240112_073000_093000_24_0.aac
珠江第一线20240111,https://lcache.qingting.fm/cache/20240111/1259/1259_20240111_073000_093000_24_0.aac
珠江第一线20240110,https://lcache.qingting.fm/cache/20240110/1259/1259_20240110_073000_093000_24_0.aac
珠江第一线20240109,https://lcache.qingting.fm/cache/20240109/1259/1259_20240109_073000_093000_24_0.aac
珠江第一线20240108,https://lcache.qingting.fm/cache/20240108/1259/1259_20240108_073000_093000_24_0.aac

广东收集,#genre#
广东体育（测试）,https://cdn2.163189.xyz/live/gdty/stream.m3u8
广东体育（测试）,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
广东体育（测试）,http://cdn2.163189.xyz/live/gdty/stream.m3u8
广东体育（测试）,http://cdn2.132.us.kg/live/gdty/stream.m3u8

广东珠江,http://103.84.91.253:5000/TVOD/2000000003000000033/hnbblive/index.m3u8
广东珠江,http://103.84.91.253:5000/TVOD/1000000004000011655/ystenlive/index.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8

广东大湾区卫视,http://129.150.58.101:50001/TVOD/2000000003000000045/hnbblive/index.m3u8

凤凰香港台,http://113.64.145.34:8081/hls/38/index.m3u8
凤凰香港台,http://www.pr666.site:4040/udp/239.255.30.123:8231

凤凰中文,http://www.pr666.site:4040/udp/239.255.30.50:8231
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx

TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB 功夫台(粵),http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB 星河台(粵),http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
粤语电影,http://allinone.netsite.cc/douyu/6566671
华语电影,http://allinone.netsite.cc/douyu/85894
周星驰,http://allinone.netsite.cc/douyu/122402

CCTV,#genre#
CCTV1 综合,http://103.84.91.253:5000/TVOD/1000000001000018602/ystenlive/index.m3u8
CCTV1 综合,http://103.84.91.253:5000/TVOD/5000000004000002226/bestzb/index.m3u8
CCTV1 综合,http://103.84.91.253:5000/TVOD/1000000005000265001/ystenlive/index.m3u8
CCTV1 综合,http://103.84.91.253:5000/TVOD/5000000010000030810/bestzb/index.m3u8
CCTV1 综合,http://103.84.91.253:5000/TVOD/1000000001000021973/ystenlive/index.m3u8
CCTV2 财经,http://103.84.91.253:5000/TVOD/6000000001000014161/wasusyt/index.m3u8
CCTV2 财经,http://103.84.91.253:5000/TVOD/1000000001000023315/ystenlive/index.m3u8
CCTV2 财经,http://103.84.91.253:5000/TVOD/5000000011000031101/bestzb/index.m3u8
CCTV2 财经,http://103.84.91.253:5000/TVOD/1000000005000265002/ystenlive/index.m3u8
CCTV2 财经,http://103.84.91.253:5000/TVOD/1000000001000012442/ystenlive/index.m3u8
CCTV3 综艺,http://103.84.91.253:5000/TVOD/6000000001000022313/wasusyt/index.m3u8
CCTV3 综艺,http://103.84.91.253:5000/TVOD/1000000001000013682/ystenlive/index.m3u8
CCTV3 综艺,http://103.84.91.253:5000/TVOD/5000000004000008883/bestzb/index.m3u8
CCTV3 综艺,http://103.84.91.253:5000/TVOD/1000000005000265003/ystenlive/index.m3u8
CCTV3 综艺,http://103.84.91.253:5000/TVOD/5000000002000020548/bestzb/index.m3u8
CCTV3 综艺,http://103.84.91.253:5000/TVOD/1000000001000011218/ystenlive/index.m3u8
CCTV4 中文国际,http://103.84.91.253:5000/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV4 中文国际,http://103.84.91.253:5000/TVOD/1000000005000265004/ystenlive/index.m3u8
CCTV4 中文国际,http://103.84.91.253:5000/TVOD/1000000002000031664/ystenlive/index.m3u8
CCTV4 中文国际,http://103.84.91.253:5000/TVOD/5000000005000030093/bestzb/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/1000000005000025222/ystenlive/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/6000000001000016431/wasusyt/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/1000000003000030177/ystenlive/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/5000000004000008885/bestzb/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/1000000005000265005/ystenlive/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/5000000010000016619/bestzb/index.m3u8
CCTV5 体育,http://103.84.91.253:5000/TVOD/1000000001000004794/ystenlive/index.m3u8
CCTV5+ 体育赛事,http://103.84.91.253:5000/TVOD/6000000001000015875/wasusyt/index.m3u8
CCTV5+ 体育赛事,http://103.84.91.253:5000/TVOD/1000000001000018504/ystenlive/index.m3u8
CCTV5+ 体育赛事,http://103.84.91.253:5000/TVOD/5000000011000031127/bestzb/index.m3u8
CCTV5+ 体育赛事,http://103.84.91.253:5000/TVOD/1000000005000265016/ystenlive/index.m3u8
